"","name","address","type","fullLocation","lat","lng"
"1","Po Nagar Cham Towers","Nha Trang",NA,"Po Nagar Cham Towers, Nha Trang",NA,NA
"2","Reunification Palace","Ho Chi Minh City",NA,"Reunification Palace, Ho Chi Minh City",NA,NA
"3","Jade Emperor Pagoda","Ho Chi Minh City",NA,"Jade Emperor Pagoda, Ho Chi Minh City",NA,NA
"4","War Remnants Museum","Ho Chi Minh City",NA,"War Remnants Museum, Ho Chi Minh City",NA,NA
"5","Ho Chi Minh’s Mausoleum","Hanoi",NA,"Ho Chi Minh’s Mausoleum, Hanoi",NA,NA
"6","Tan Ky House","Hoi An",NA,"Tan Ky House, Hoi An",NA,NA
"7","Thien Mu Pagoda","Hue",NA,"Thien Mu Pagoda, Hue",NA,NA
"8","Temple of Literature","Hanoi",NA,"Temple of Literature, Hanoi",NA,NA
"9","Japanese Covered Bridge","Hoi An",NA,"Japanese Covered Bridge, Hoi An",NA,NA
"10","Fine Arts Museum","Ho Chi Minh City",NA,"Fine Arts Museum, Ho Chi Minh City",NA,NA
"11","Assembly Hall of the Fujian Chinese Congregation","Hoi An",NA,"Assembly Hall of the Fujian Chinese Congregation, Hoi An",NA,NA
"12","Imperial Enclosure","Hue",NA,"Imperial Enclosure, Hue",NA,NA
"13","Hoa Lo Prison Museum","Hanoi",NA,"Hoa Lo Prison Museum, Hanoi",NA,NA
"14","Municipal Beach","Quy Nhon",NA,"Municipal Beach, Quy Nhon",NA,NA
"15","Vietnam Museum of Ethnology","Hanoi",NA,"Vietnam Museum of Ethnology, Hanoi",NA,NA
"16","To Mieu Temple Complex","Hue",NA,"To Mieu Temple Complex, Hue",NA,NA
"17","Phuoc An Hoi Quan Pagoda","Ho Chi Minh City",NA,"Phuoc An Hoi Quan Pagoda, Ho Chi Minh City",NA,NA
"18","Museum of Cham Sculpture","Danang",NA,"Museum of Cham Sculpture, Danang",NA,NA
"19","Nha Trang Beach","Nha Trang",NA,"Nha Trang Beach, Nha Trang",NA,NA
"20","History Museum","Ho Chi Minh City",NA,"History Museum, Ho Chi Minh City",NA,NA
"21","Bac Ha Market","Bac Ha",NA,"Bac Ha Market, Bac Ha",NA,NA
"22","Mac Cuu Family Tombs","Ha Tien",NA,"Mac Cuu Family Tombs, Ha Tien",NA,NA
"23","National Museum of Vietnamese History","Hanoi",NA,"National Museum of Vietnamese History, Hanoi",NA,NA
"24","Hoan Kiem Lake","Hanoi",NA,"Hoan Kiem Lake, Hanoi",NA,NA
"25","Vietnam Military History Museum","Hanoi",NA,"Vietnam Military History Museum, Hanoi",NA,NA
"26","Fine Arts Museum","Hanoi",NA,"Fine Arts Museum, Hanoi",NA,NA
"27","Notre Dame Cathedral","Ho Chi Minh City",NA,"Notre Dame Cathedral, Ho Chi Minh City",NA,NA
"28","Bach Ma Temple","Hanoi",NA,"Bach Ma Temple, Hanoi",NA,NA
"29","Central Post Office","Ho Chi Minh City",NA,"Central Post Office, Ho Chi Minh City",NA,NA
"30","Ho Chi Minh Mausoleum Complex","Hanoi",NA,"Ho Chi Minh Mausoleum Complex, Hanoi",NA,NA
"31","Bitexco Financial Tower","Ho Chi Minh City",NA,"Bitexco Financial Tower, Ho Chi Minh City",NA,NA
"32","Hai Ba Trung Temple","Hanoi",NA,"Hai Ba Trung Temple, Hanoi",NA,NA
"33","Dien Bien Phu Museum","Dien Bien Phu",NA,"Dien Bien Phu Museum, Dien Bien Phu",NA,NA
"34","Vua Meo","Bac Ha",NA,"Vua Meo, Bac Ha",NA,NA
"35","Binh Tay Market","Ho Chi Minh City",NA,"Binh Tay Market, Ho Chi Minh City",NA,NA
"36","Queen of the Rosary Cathedral","Haiphong",NA,"Queen of the Rosary Cathedral, Haiphong",NA,NA
"37","Sapa Market","Sapa",NA,"Sapa Market, Sapa",NA,NA
"38","Bunker of Colonel de Castries","Dien Bien Phu",NA,"Bunker of Colonel de Castries, Dien Bien Phu",NA,NA
"39","A1 Hill","Dien Bien Phu",NA,"A1 Hill, Dien Bien Phu",NA,NA
"40","Haiphong Museum","Haiphong",NA,"Haiphong Museum, Haiphong",NA,NA
"41","Opera House","Haiphong",NA,"Opera House, Haiphong",NA,NA
"42","Museum of the Vietnamese Revolution","Hanoi",NA,"Museum of the Vietnamese Revolution, Hanoi",NA,NA
"43","Cao Dai Holy See","Tay Ninh",NA,"Cao Dai Holy See, Tay Ninh",NA,NA
"44","Historic Prisons","Con Dao Islands",NA,"Historic Prisons, Con Dao Islands",NA,NA
"45","Temple of Lady Xu","Sam Mountain",NA,"Temple of Lady Xu, Sam Mountain",NA,NA
"46","Perfume Pagoda","Perfume Pagoda",NA,"Perfume Pagoda, Perfume Pagoda",NA,NA
"47","Cat Ba National Park","Cat Ba Island",NA,"Cat Ba National Park, Cat Ba Island",NA,NA
"48","Nui Ba Den","Tay Ninh",NA,"Nui Ba Den, Tay Ninh",NA,NA
"49","Tomb of Tu Duc","Hue",NA,"Tomb of Tu Duc, Hue",NA,NA
"50","Xa Loi Pagoda","Ho Chi Minh City",NA,"Xa Loi Pagoda, Ho Chi Minh City",NA,NA
"51","Khe Sanh Combat Base","Demilitarised Zone (Dmz)",NA,"Khe Sanh Combat Base, Demilitarised Zone (Dmz)",NA,NA
"52","Cha Tam Church","Ho Chi Minh City",NA,"Cha Tam Church, Ho Chi Minh City",NA,NA
"53","Po Ro Me Cham Tower","Phan Rang & Thap Cham",NA,"Po Ro Me Cham Tower, Phan Rang & Thap Cham",NA,NA
"54","Group B","My Son",NA,"Group B, My Son",NA,NA
