"","name","address","type","lat","lng"
"1","Po Nagar Cham Towers","Nha Trang","Religious",NA,NA
"2","Reunification Palace","Ho Chi Minh City","Architecture",10.777021,106.6954139
"3","Jade Emperor Pagoda","Ho Chi Minh City","Religious",NA,NA
"4","War Remnants Museum","Ho Chi Minh City","Museums & Galleries",10.7794222,106.6920733
"5","Ho Chi Minh’s Mausoleum","Hanoi","Cemeteries, Memorials & Tombs",21.0365442,105.8348905
"6","Tan Ky House","Hoi An","Architecture",19.0804374,37.3664298
"7","Thien Mu Pagoda","Hue","Religious",16.4537395,107.544765
"8","Temple of Literature","Hanoi","Religious",41.262573,21.0287611
"9","Japanese Covered Bridge","Hoi An","Architecture",NA,NA
"10","Fine Arts Museum","Ho Chi Minh City","Museums & Galleries",42.339381,32.35111
"11","Assembly Hall of the Fujian Chinese Congregation","Hoi An","Religious",NA,108.3302222
"12","Imperial Enclosure","Hue","Historic",NA,NA
"13","Hoa Lo Prison Museum","Hanoi","Architecture",NA,NA
"14","Municipal Beach","Quy Nhon","Beaches, Islands & Waterfronts",40.862836,NA
"15","Vietnam Museum of Ethnology","Hanoi","Museums & Galleries",21.0395559,105.798018
"16","To Mieu Temple Complex","Hue","Religious",NA,NA
"17","Phuoc An Hoi Quan Pagoda","Ho Chi Minh City","Religious",NA,NA
"18","Museum of Cham Sculpture","Danang","Museums & Galleries",16.0601257,108.2231185
"19","Nha Trang Beach","Nha Trang","Beaches, Islands & Waterfronts",12.0689132,12.2363391
"20","History Museum","Ho Chi Minh City","Museums & Galleries",41.6748355,37.4142744
"21","Bac Ha Market","Bac Ha","Markets & Bazaars",39.149368,39.1894621
"22","Mac Cuu Family Tombs","Ha Tien","Cemeteries, Memorials & Tombs",NA,NA
"23","National Museum of Vietnamese History","Hanoi","Museums & Galleries",NA,NA
"24","Hoan Kiem Lake","Hanoi","Lakes, Rivers & Waterfalls",21.0286669,105.8521484
"25","Vietnam Military History Museum","Hanoi","Museums & Galleries",21.0327913,NA
"26","Fine Arts Museum","Hanoi","Museums & Galleries",42.339381,NA
"27","Notre Dame Cathedral","Ho Chi Minh City","Religious",48.8529682,NA
"28","Bach Ma Temple","Hanoi","Religious",NA,NA
"29","Central Post Office","Ho Chi Minh City","Architecture",32.6809633,32.8695095
"30","Ho Chi Minh Mausoleum Complex","Hanoi","Historic",10.8230989,106.6296638
"31","Bitexco Financial Tower","Ho Chi Minh City","Viewpoints & Observation Decks",10.7718008,106.7044405
"32","Hai Ba Trung Temple","Hanoi","Religious",21.0122871,105.8555386
"33","Dien Bien Phu Museum","Dien Bien Phu","Museums & Galleries",21.0327913,105.8401706
"34","Vua Meo","Bac Ha","Architecture",NA,105.2620267
"35","Binh Tay Market","Ho Chi Minh City","Markets & Bazaars",NA,39.9241235
"36","Queen of the Rosary Cathedral","Haiphong","Religious",12.103099,-68.9245534
"37","Sapa Market","Sapa","Markets & Bazaars",10.6408034,9.560377
"38","Bunker of Colonel de Castries","Dien Bien Phu","Military",43.677589,14.0101094
"39","A1 Hill","Dien Bien Phu","Military",-29.6749722,NA
"40","Haiphong Museum","Haiphong","Museums & Galleries",20.9383645,NA
"41","Opera House","Haiphong","Architecture",18.9537342,NA
"42","Museum of the Vietnamese Revolution","Hanoi","Museums & Galleries",21.0252909,NA
"43","Cao Dai Holy See","Tay Ninh","Religious",NA,NA
"44","Historic Prisons","Con Dao Islands","Architecture",32.7270481,-114.6149772
"45","Temple of Lady Xu","Sam Mountain","Religious",NA,NA
"46","Perfume Pagoda","Perfume Pagoda","Other",NA,NA
"47","Cat Ba National Park","Cat Ba Island","Parks & Gardens",NA,20.8
"48","Nui Ba Den","Tay Ninh","Religious",NA,106.1757379
"49","Tomb of Tu Duc","Hue","Cemeteries, Memorials & Tombs",NA,107.5654488
"50","Xa Loi Pagoda","Ho Chi Minh City","Religious",NA,NA
"51","Khe Sanh Combat Base","Demilitarised Zone (Dmz)","Historic",NA,NA
"52","Cha Tam Church","Ho Chi Minh City","Religious",NA,NA
"53","Po Ro Me Cham Tower","Phan Rang & Thap Cham","Religious",NA,NA
"54","Group B","My Son","Religious",37.2960762,NA
"55","Long Son Pagoda","Nha Trang","Religious",12.2515206,NA
"56","Po Klong Garai Cham Towers","Phan Rang & Thap Cham","Religious",NA,NA
"57","Sand Dunes","Mui Ne","Beaches, Islands & Waterfronts",28.3813065,NA
"58","Xeo Quyt Forest ","Rung Tram","Parks & Gardens",NA,NA
"59","Tram Chim National Park","Tram Chim National Park","Parks & Gardens",10.725,105.5166667
"60","Hang Nga Crazy House","Dalat","Architecture",NA,NA
"61","Le Van Duyet Temple","Ho Chi Minh City","Religious",NA,NA
"62","Tay Ho","Hanoi","Lakes, Rivers & Waterfalls",NA,16.4471265
"63","Citadel","Hue","Historic",NA,39.01585
"64","Paradise Cave","Phong Nha-Ke Bang National Park","Natural Landmarks",NA,35.535027
"65","Con Son Beaches & Other Islands Beaches","Con Dao Islands","Beaches, Islands & Waterfronts",NA,NA
"66","Lan Ha Bay","Cat Ba Island","Beaches, Islands & Waterfronts",20.7582934,107.0893798
"67","Minority Villages","Kon Tum","Neighbourhoods & Villages",NA,NA
"68","Clay Pagoda","Soc Trang","Religious",39.4948068,NA
"69","Tomb of Minh Mang","Hue","Cemeteries, Memorials & Tombs",16.3876543,NA
"70","Giac Lam Pagoda","Ho Chi Minh City","Religious",10.7768169,NA
"71","Khanh Van Nam Vien Pagoda","Ho Chi Minh City","Religious",NA,NA
"72","Bidoup Nui Ba National Park ","South-West Highlands","Parks & Gardens",11.9369016,108.4456873
"73","Monkey Island Eco Forest Park","Can Gio","Parks & Gardens",NA,NA
"74","Phong Nha Caves & Boat Trip","Phong Nha-Ke Bang National Park","Natural Landmarks",17.5431265,17.6121327
"75","Bat Pagoda","Soc Trang","Religious",NA,104.7828609
"76","Phung Son Pagoda","Ho Chi Minh City","Religious",NA,NA
"77","Long Beach","Phu Quoc Island","Beaches, Islands & Waterfronts",NA,40.5884373
"78","Tran Family Chapel","Hoi An","Architecture",NA,NA
"79","Quy Hoa Beach & Leper Hospital","Quy Nhon","Beaches, Islands & Waterfronts",NA,20.583333
"80","Alexandre Yersin Museum","Nha Trang","Museums & Galleries",NA,NA
"81","Ho Chi Minh’s Stilt House & the Presidential Palace","Hanoi","Other",NA,NA
"82","HCMC Museum","Ho Chi Minh City","Museums & Galleries",44.9720842,NA
"83","Cavern Pagoda","Sam Mountain","Religious",NA,NA
"84","Group A","My Son","Religious",37.2946979,NA
"85","Giac Vien Pagoda","Ho Chi Minh City","Religious",10.2354162,NA
"86","Tiger Cages","Con Dao Islands","Architecture",NA,NA
"87","Mariamman Hindu Temple","Ho Chi Minh City","Religious",10.7724397,106.6957479
"88","Thay Pagoda","Thay & Tay Phuong Pagodas","Religious",21.0228836,105.6454835
"89","Ho Chi Minh Museum","Ho Chi Minh City","Museums & Galleries",21.0356034,10.7682712
"90","Vuc Quanh Outdoor War Museum","Dong Hoi & Around","Museums & Galleries",NA,NA
"91","Royal Tombs","Hue","Other",NA,-21.1359696
"92","Quan Cong Temple","Hoi An","Religious",NA,-71.107955
"93","Tomb of Khai Dinh","Hue","Cemeteries, Memorials & Tombs",NA,10.36847
"94","Lat & Lang Dinh An Villages","Dalat & Around","Neighbourhoods & Villages",16.6582202,43.499052
"95","Tay An Pagoda","Sam Mountain","Religious",10.4915476,34.2182433
"96","Thien Hau Pagoda","Ho Chi Minh City","Religious",9.6952045,NA
"97","Ha Chuong Hoi Quan Pagoda","Ho Chi Minh City","Religious",NA,NA
"98","Phu Dung Pagoda","Ha Tien","Religious",35.98801,NA
