"","name","address","type","fullLocation","lat","lng"
"1","Po Nagar Cham Towers","Nha Trang","Religious","Po Nagar Cham Towers, Nha Trang",12.2387911,109.1967488
"2","Reunification Palace","Ho Chi Minh City","Architecture","Reunification Palace, Ho Chi Minh City",10.777021,106.6954139
"3","Jade Emperor Pagoda","Ho Chi Minh City","Religious","Jade Emperor Pagoda, Ho Chi Minh City",10.8230989,10.8184631
"4","War Remnants Museum","Ho Chi Minh City","Museums & Galleries","War Remnants Museum, Ho Chi Minh City",10.7794222,106.6920733
"5","Ho Chi Minh’s Mausoleum","Hanoi","Cemeteries, Memorials & Tombs","Ho Chi Minh’s Mausoleum, Hanoi",21.0365442,21.0356034
"6","Tan Ky House","Hoi An","Architecture","Tan Ky House, Hoi An",15.8800584,108.3380469
"7","Thien Mu Pagoda","Hue","Religious","Thien Mu Pagoda, Hue",16.4537395,107.544765
"8","Temple of Literature","Hanoi","Religious","Temple of Literature, Hanoi",21.0287611,105.8364349
"9","Japanese Covered Bridge","Hoi An","Architecture","Japanese Covered Bridge, Hoi An",15.8800584,108.3380469
"10","Fine Arts Museum","Ho Chi Minh City","Museums & Galleries","Fine Arts Museum, Ho Chi Minh City",10.7696684,NA
"11","Assembly Hall of the Fujian Chinese Congregation","Hoi An","Religious","Assembly Hall of the Fujian Chinese Congregation, Hoi An",15.8800584,NA
"12","Imperial Enclosure","Hue","Historic","Imperial Enclosure, Hue",16.4498,107.5623501
"13","Hoa Lo Prison Museum","Hanoi","Architecture","Hoa Lo Prison Museum, Hanoi",21.0277644,105.8341598
"14","Municipal Beach","Quy Nhon","Beaches, Islands & Waterfronts","Municipal Beach, Quy Nhon",13.7723959,13.7718755
"15","Vietnam Museum of Ethnology","Hanoi","Museums & Galleries","Vietnam Museum of Ethnology, Hanoi",21.0395559,105.798018
"16","To Mieu Temple Complex","Hue","Religious","To Mieu Temple Complex, Hue",16.4498,107.5623501
"17","Phuoc An Hoi Quan Pagoda","Ho Chi Minh City","Religious","Phuoc An Hoi Quan Pagoda, Ho Chi Minh City",10.8230989,10.8184631
"18","Museum of Cham Sculpture","Danang","Museums & Galleries","Museum of Cham Sculpture, Danang",16.0601257,108.2231185
"19","Nha Trang Beach","Nha Trang","Beaches, Islands & Waterfronts","Nha Trang Beach, Nha Trang",12.2363391,109.1978532
"20","History Museum","Ho Chi Minh City","Museums & Galleries","History Museum, Ho Chi Minh City",10.7879894,106.7048581
"21","Bac Ha Market","Bac Ha","Markets & Bazaars","Bac Ha Market, Bac Ha",NA,NA
"22","Mac Cuu Family Tombs","Ha Tien","Cemeteries, Memorials & Tombs","Mac Cuu Family Tombs, Ha Tien",NA,NA
"23","National Museum of Vietnamese History","Hanoi","Museums & Galleries","National Museum of Vietnamese History, Hanoi",21.0277644,NA
"24","Hoan Kiem Lake","Hanoi","Lakes, Rivers & Waterfalls","Hoan Kiem Lake, Hanoi",21.0286669,NA
"25","Vietnam Military History Museum","Hanoi","Museums & Galleries","Vietnam Military History Museum, Hanoi",21.0327913,NA
"26","Fine Arts Museum","Hanoi","Museums & Galleries","Fine Arts Museum, Hanoi",21.0303792,105.8370165
"27","Notre Dame Cathedral","Ho Chi Minh City","Religious","Notre Dame Cathedral, Ho Chi Minh City",10.7797858,106.6989938
"28","Bach Ma Temple","Hanoi","Religious","Bach Ma Temple, Hanoi",21.0277644,105.8341598
"29","Central Post Office","Ho Chi Minh City","Architecture","Central Post Office, Ho Chi Minh City",10.7794869,106.6999866
"30","Ho Chi Minh Mausoleum Complex","Hanoi","Historic","Ho Chi Minh Mausoleum Complex, Hanoi",21.0277644,105.8341598
"31","Bitexco Financial Tower","Ho Chi Minh City","Viewpoints & Observation Decks","Bitexco Financial Tower, Ho Chi Minh City",10.7718008,106.7044405
"32","Hai Ba Trung Temple","Hanoi","Religious","Hai Ba Trung Temple, Hanoi",21.0122871,105.8555386
"33","Dien Bien Phu Museum","Dien Bien Phu","Museums & Galleries","Dien Bien Phu Museum, Dien Bien Phu",NA,NA
"34","Vua Meo","Bac Ha","Architecture","Vua Meo, Bac Ha",14.058324,108.277199
"35","Binh Tay Market","Ho Chi Minh City","Markets & Bazaars","Binh Tay Market, Ho Chi Minh City",10.8230989,10.8184631
"36","Queen of the Rosary Cathedral","Haiphong","Religious","Queen of the Rosary Cathedral, Haiphong",20.8449115,NA
"37","Sapa Market","Sapa","Markets & Bazaars","Sapa Market, Sapa",NA,NA
"38","Bunker of Colonel de Castries","Dien Bien Phu","Military","Bunker of Colonel de Castries, Dien Bien Phu",NA,NA
"39","A1 Hill","Dien Bien Phu","Military","A1 Hill, Dien Bien Phu",11.3171655,11.3149037
"40","Haiphong Museum","Haiphong","Museums & Galleries","Haiphong Museum, Haiphong",20.9383645,106.802119
"41","Opera House","Haiphong","Architecture","Opera House, Haiphong",20.8449115,106.6880841
"42","Museum of the Vietnamese Revolution","Hanoi","Museums & Galleries","Museum of the Vietnamese Revolution, Hanoi",21.0252909,105.8592742
"43","Cao Dai Holy See","Tay Ninh","Religious","Cao Dai Holy See, Tay Ninh",11.3675415,106.1192802
"44","Historic Prisons","Con Dao Islands","Architecture","Historic Prisons, Con Dao Islands",NA,NA
"45","Temple of Lady Xu","Sam Mountain","Religious","Temple of Lady Xu, Sam Mountain",NA,NA
"46","Perfume Pagoda","Perfume Pagoda","Other","Perfume Pagoda, Perfume Pagoda",NA,NA
"47","Cat Ba National Park","Cat Ba Island","Parks & Gardens","Cat Ba National Park, Cat Ba Island",20.8,106.999722
"48","Nui Ba Den","Tay Ninh","Religious","Nui Ba Den, Tay Ninh",11.3816891,106.1757379
"49","Tomb of Tu Duc","Hue","Cemeteries, Memorials & Tombs","Tomb of Tu Duc, Hue",16.4329182,107.5654488
"50","Xa Loi Pagoda","Ho Chi Minh City","Religious","Xa Loi Pagoda, Ho Chi Minh City",10.8230989,10.8184631
"51","Khe Sanh Combat Base","Demilitarised Zone (Dmz)","Historic","Khe Sanh Combat Base, Demilitarised Zone (Dmz)",NA,NA
"52","Cha Tam Church","Ho Chi Minh City","Religious","Cha Tam Church, Ho Chi Minh City",10.8230989,10.8184631
"53","Po Ro Me Cham Tower","Phan Rang & Thap Cham","Religious","Po Ro Me Cham Tower, Phan Rang & Thap Cham",11.56269,108.994797
"54","Group B","My Son","Religious","Group B, My Son",15.7626486,15.765009
"55","Long Son Pagoda","Nha Trang","Religious","Long Son Pagoda, Nha Trang",12.2515206,109.1806335
"56","Po Klong Garai Cham Towers","Phan Rang & Thap Cham","Religious","Po Klong Garai Cham Towers, Phan Rang & Thap Cham",11.56269,108.994797
"57","Sand Dunes","Mui Ne","Beaches, Islands & Waterfronts","Sand Dunes, Mui Ne",10.9473855,108.29262
"58","Xeo Quyt Forest ","Rung Tram","Parks & Gardens","Xeo Quyt Forest , Rung Tram",14.058324,NA
"59","Tram Chim National Park","Tram Chim National Park","Parks & Gardens","Tram Chim National Park, Tram Chim National Park",10.725,NA
"60","Hang Nga Crazy House","Dalat","Architecture","Hang Nga Crazy House, Dalat",11.9404192,NA
"61","Le Van Duyet Temple","Ho Chi Minh City","Religious","Le Van Duyet Temple, Ho Chi Minh City",10.8230989,NA
"62","Tay Ho","Hanoi","Lakes, Rivers & Waterfalls","Tay Ho, Hanoi",NA,NA
"63","Citadel","Hue","Historic","Citadel, Hue",NA,NA
"64","Paradise Cave","Phong Nha-Ke Bang National Park","Natural Landmarks","Paradise Cave, Phong Nha-Ke Bang National Park",17.542593,106.23455
"65","Con Son Beaches & Other Islands Beaches","Con Dao Islands","Beaches, Islands & Waterfronts","Con Son Beaches & Other Islands Beaches, Con Dao Islands",NA,NA
"66","Lan Ha Bay","Cat Ba Island","Beaches, Islands & Waterfronts","Lan Ha Bay, Cat Ba Island",20.8,106.999722
"67","Minority Villages","Kon Tum","Neighbourhoods & Villages","Minority Villages, Kon Tum",14.3497403,108.0004606
"68","Clay Pagoda","Soc Trang","Religious","Clay Pagoda, Soc Trang",NA,NA
"69","Tomb of Minh Mang","Hue","Cemeteries, Memorials & Tombs","Tomb of Minh Mang, Hue",16.433385,107.5805401
"70","Giac Lam Pagoda","Ho Chi Minh City","Religious","Giac Lam Pagoda, Ho Chi Minh City",10.7768169,106.648603
